Binomial,Year,cwl,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2005,79.9,,-46.400954,-23.843052
Trichothraupis_melanops,2005,80.1,,-46.400954,-23.843052
Trichothraupis_melanops,2004,73,,-48.541493,-25.587558
Trichothraupis_melanops,1992,,,-49.233333,-26.366667
Trichothraupis_melanops,2001,83.4,,-48.474789,-27.585696
Trichothraupis_melanops,2015,75,9.4,-41.02029722,-20.39838889
Trichothraupis_melanops,2015,82,,-54.487792,-25.619635
Trichothraupis_melanops,2009,82,8.15,-46.583333,-23.366667
Trichothraupis_melanops,2009,82,7.69,-46.45,-23.366667
Trichothraupis_melanops,2009,82,7.45,-46.45,-23.366667
Trichothraupis_melanops,2017,82,,-47.245302,-24.06865
Trichothraupis_melanops,2010,86,,-48.433333,-23.266667
Trichothraupis_melanops,2009,79.5,7.86,-46.583333,-23.366667
Trichothraupis_melanops,2006,,,-47.446516,-23.833638
Trichothraupis_melanops,2000,,,-48.416666,-24.316666
Trichothraupis_melanops,2006,,,-47.446516,-23.833638
Trichothraupis_melanops,2012,83,10.4,-50.6967,-24.1431
Trichothraupis_melanops,2001,89.6,10.4,-48.810668,-27.73223
Trichothraupis_melanops,2012,85,,-49.403256,-28.600583
Trichothraupis_melanops,1991,,,-53.95,-27.25
Trichothraupis_melanops,2008,77,6.2,-48.054843,-20.091019
Trichothraupis_melanops,2012,76,8.7,-50.6967,-24.1431
Trichothraupis_melanops,2016,84,8.5,-49.076722,-22.775
Trichothraupis_melanops,2006,86,,-45.982,-23.633
Trichothraupis_melanops,2001,,,-48.40777778,-24.278333
Trichothraupis_melanops,2006,,,-47.446516,-23.833638
Trichothraupis_melanops,2010,85,,-46.016667,-23.033333
Trichothraupis_melanops,2008,82,,-48.541493,-25.587558
Trichothraupis_melanops,2012,80.5,,-54.487792,-25.619635
Trichothraupis_melanops,2012,84,,-49.405145,-28.599546
Trichothraupis_melanops,2013,80,,-49.405145,-28.599546
Trichothraupis_melanops,2005,79,,-46.400954,-23.843052
Trichothraupis_melanops,1991,77,7.59,-47.833333,-24.183333
Trichothraupis_melanops,2017,81.2,,-48.541493,-25.587558
Trichothraupis_melanops,1999,83,,-47.841667,-21.971667
Trichothraupis_melanops,2014,76,,-50.6967,-24.1431
Trichothraupis_melanops,2014,77.3,,-54.487792,-25.619635
Trichothraupis_melanops,1996,85,6.8,-44.204194,-23.183073
Trichothraupis_melanops,2011,78,7.91,-40.05,-16.4
Trichothraupis_melanops,2011,80.5,8.25,-40.05,-16.4
Trichothraupis_melanops,2011,71.5,7.23,-40.05,-16.4
Trichothraupis_melanops,1999,84,,-47.841667,-21.971667
Trichothraupis_melanops,2000,,9,-48.416666,-24.316666
Trichothraupis_melanops,2013,83,,-49.671408,-28.649798
Trichothraupis_melanops,2005,,,-47.453913,-23.907938
Trichothraupis_melanops,2017,80,,-47.245302,-24.06865
Trichothraupis_melanops,2006,,,-47.449187,-23.854583
Trichothraupis_melanops,2015,85,,-46.340917,-23.855861
Trichothraupis_melanops,2000,,7.5,-48.416666,-24.316666
Trichothraupis_melanops,2000,,7,-48.416666,-24.316666
Trichothraupis_melanops,2015,,,-47.245302,-24.06865
Trichothraupis_melanops,2006,,,-47.469706,-23.918526
Trichothraupis_melanops,1996,85,6.9,-44.204194,-23.183073
Trichothraupis_melanops,1996,87,,-44.202778,-23.175
Trichothraupis_melanops,2001,81.4,9.6,-48.810668,-27.73223
Trichothraupis_melanops,2001,81.3,9.2,-48.810668,-27.73223
Trichothraupis_melanops,2000,81,10,-46.971111,-23.666389
Trichothraupis_melanops,2011,80,5.6,-42.047183,-22.421778
Trichothraupis_melanops,2002,81.3,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,,-48.416666,-24.316666
Trichothraupis_melanops,2000,80,,-46.971111,-23.666389
Trichothraupis_melanops,2015,83,,-47.198404,-24.045634
Trichothraupis_melanops,1999,80,,-47.841667,-21.971667
Trichothraupis_melanops,1999,83,,-47.841667,-21.971667
Trichothraupis_melanops,2000,82,,-46.971111,-23.666389
Trichothraupis_melanops,1990,81.5,8.1,-47.883333,-25.05
Trichothraupis_melanops,2013,78,7.7,-41.74221111,-20.49504444
Trichothraupis_melanops,2011,84.5,,-48.541493,-25.587558
