ID_ABT,Binomial,Family,Sex,Year,month,season,cwl,wing_col,Bill_width.mm.,Body_mass.g.,Main_researcher,Municipality,Locality,Longitude_decimal_degrees,Latitude_decimal_degrees,Altitude,Molt,Ring
EH0467,Haplospiza_unicolor,Thraupidae,Male,1999,9,SON,,,,17.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33344
EH0590,Haplospiza_unicolor,Thraupidae,Female,2001,3,MAM,,,6,15,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
EH0073,Haplospiza_unicolor,Thraupidae,Female,1999,12,DJF,,,,19,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,
PA0693,Haplospiza_unicolor,Thraupidae,Male,2006,3,MAM,97,right,,15,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69468
EH0472,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,5.2,14.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33370
CB1079,Haplospiza_unicolor,Thraupidae,Female,2006,3,MAM,,,,14,C.Banks-Leite,Piedade,,-47.480381,-23.876407,926,,D96223
VC1004,Haplospiza_unicolor,Thraupidae,Female,2010,5,MAM,64,right,,15.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
MV0334,Haplospiza_unicolor,Thraupidae,Female,2012,7,JJA,66,generic,6.9,16,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D109135
EH0068,Haplospiza_unicolor,Thraupidae,Female,2000,2,DJF,,,6.3,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34298
EC1424,Haplospiza_unicolor,Thraupidae,Female,2002,10,SON,62.9,right,,14,E.Carrano,Araucária,Refinaria Presidente Getúlio Vargas,-49.356283,-25.583954,914,no,D 53689
EH0076,Haplospiza_unicolor,Thraupidae,Female,2000,2,DJF,,,6,14,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,G34335
EH0471,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,5.2,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33370
VC1915,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,69,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,E104718
VC1924,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,67,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104725
